trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
15,False,"{'a': 0.5, 'e': 0.7385691026454037}",25,0,-42.32833457490441,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.7237977205924956}",20,0,-87.45726746278278,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.7093217661806457}",30,0,-188.74869350404003,"{0: 16, 1: 4, 2: 7, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.6951353308570327}",20,0,-51.731123352794114,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.6812326242398921}",20,0,-34.69028017940303,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.6676079717550942}",20,0,-79.15477309583954,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.6542558123199923}",20,0,-45.22165107997452,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.6411706960735924}",25,4,-82.40313870285163,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.6283472821521205}",20,0,-27.32767755124417,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.6157803365090782}",20,7,14.467888338131807,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.6034647297788965}",20,12,-52.060403388732176,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.5913954351833186}",20,0,-63.76936336890567,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.5795675264796523}",30,20,14.697261464541894,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.5679761759500592}",25,6,-123.9712635767957,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 3}",1
29,False,"{'a': 0.5, 'e': 0.5566166524310581}",20,5,11.498652975646102,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
